Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
               16367    22     2   506190.848400  4596422.725130  927.2290    6.0960  0.00000      1.00000      0.00000      0.00000      0.00000    
               16367    22     3   506190.848400  4596422.725130  927.2290   15.2400  0.00000      1.00000      0.00000      0.00000      0.00000    
               16367    22     4   506190.848400  4596422.725130  927.2290   21.3360  0.00000      1.00000      0.00000      0.00000      0.00000    
               16367    22     5   506190.848400  4596422.725130  927.2290   28.9560  0.00000      1.00000      0.00000      0.00000      0.00000    
               16367    22     6   506190.848400  4596422.725130  927.2290   35.0520  0.00000      0.00000      0.00000      1.00000      0.00000    
               16367    22     7   506190.848400  4596422.725130  927.2290   41.1480  1.00000      0.00000      0.00000      0.00000      0.00000    
               16367    22     8   506190.848400  4596422.725130  927.2290   44.1960  1.00000      0.00000      0.00000      0.00000      0.00000    
               16367    22     9   506190.848400  4596422.725130  927.2290   47.2440  0.00000      0.00000      0.00000      1.00000      0.00000    
               16367    22    10   506190.848400  4596422.725130  927.2290   65.5320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16381    23     1   512668.883000  4604557.280150  828.7207   11.5824  0.00000      1.00000      0.00000      0.00000      0.00000    
               16381    23     2   512668.883000  4604557.280150  828.7207   12.1920  0.00000      1.00000      0.00000      0.00000      0.00000    
               16381    23     3   512668.883000  4604557.280150  828.7207   15.2400  0.00000      1.00000      0.00000      0.00000      0.00000    
               16381    23     4   512668.883000  4604557.280150  828.7207   16.7640  0.00000      1.00000      0.00000      0.00000      0.00000    
               16381    23     5   512668.883000  4604557.280150  828.7207   18.2880  0.00000      1.00000      0.00000      0.00000      0.00000    
               16381    23     6   512668.883000  4604557.280150  828.7207   19.8120  0.00000      0.00000      1.00000      0.00000      0.00000    
               16381    23     7   512668.883000  4604557.280150  828.7207   21.3360  0.00000      1.00000      0.00000      0.00000      0.00000    
               16381    23     8   512668.883000  4604557.280150  828.7207   23.1648  0.00000      0.00000      0.00000      1.00000      0.00000    
               16382    24     1   501320.505270  4607767.387390  845.2927    3.0480  0.00000      1.00000      0.00000      0.00000      0.00000    
               16382    24     2   501320.505270  4607767.387390  845.2927    9.1440  0.00000      0.00000      0.00000      1.00000      0.00000    
               16382    24     3   501320.505270  4607767.387390  845.2927   27.4320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16387    25     1   511043.161600  4588249.292000  855.3237    3.6576  0.00000      1.00000      0.00000      0.00000      0.00000    
               16387    25     2   511043.161600  4588249.292000  855.3237    5.4864  0.00000      0.00000      0.00000      1.00000      0.00000    
               16387    25     3   511043.161600  4588249.292000  855.3237   12.4968  0.00000      0.00000      0.00000      1.00000      0.00000    
               16387    25     4   511043.161600  4588249.292000  855.3237   14.6304  0.00000      0.00000      1.00000      0.00000      0.00000    
               16387    25     5   511043.161600  4588249.292000  855.3237   18.5928  0.00000      1.00000      0.00000      0.00000      0.00000    
               16390    26     1   507850.198800  4588205.480210  942.4873   15.5448  0.00000      1.00000      0.00000      0.00000      0.00000    
               16390    26     2   507850.198800  4588205.480210  942.4873   19.8120  0.00000      0.00000      0.00000      1.00000      0.00000    
               16393    27     1   514275.544510  4583456.076650  871.9261    4.5720  0.00000      0.00000      0.00000      1.00000      0.00000    
               16393    27     2   514275.544510  4583456.076650  871.9261    6.0960  0.00000      1.00000      0.00000      0.00000      0.00000    
               16393    27     3   514275.544510  4583456.076650  871.9261   15.8496  0.00000      0.00000      0.00000      1.00000      0.00000    
               16398    28     1   507795.088030  4601327.985900  995.6627    6.0960  0.00000      1.00000      0.00000      0.00000      0.00000    
               16398    28     2   507795.088030  4601327.985900  995.6627   10.6680  0.00000      0.00000      0.00000      1.00000      0.00000    
               16398    28     3   507795.088030  4601327.985900  995.6627   21.3360  0.00000      0.00000      0.00000      1.00000      0.00000    
               16398    28     4   507795.088030  4601327.985900  995.6627   21.9456  0.00000      0.00000      0.00000      1.00000      0.00000    
               16398    28     5   507795.088030  4601327.985900  995.6627   24.3840  0.00000      0.00000      0.00000      1.00000      0.00000    
               16424    29     1   509392.991290  4596482.508090  842.7872   10.9728  0.00000      1.00000      0.00000      0.00000      0.00000    
               16424    29     2   509392.991290  4596482.508090  842.7872   13.7160  0.00000      0.00000      0.00000      1.00000      0.00000    
               16424    29     3   509392.991290  4596482.508090  842.7872   15.8496  0.00000      0.00000      1.00000      0.00000      0.00000    
               16425    30     1   509466.017490  4589882.746800  877.5009    1.2192  0.00000      1.00000      0.00000      0.00000      0.00000    
               16425    30     2   509466.017490  4589882.746800  877.5009    5.7912  0.00000      0.00000      0.00000      0.00000      1.00000    
               16425    30     3   509466.017490  4589882.746800  877.5009    7.3152  0.00000      1.00000      0.00000      0.00000      0.00000    
               16425    30     4   509466.017490  4589882.746800  877.5009   10.3632  0.00000      0.00000      1.00000      0.00000      0.00000    
               16425    30     5   509466.017490  4589882.746800  877.5009   11.8872  0.00000      0.00000      1.00000      0.00000      0.00000    
               16425    30     6   509466.017490  4589882.746800  877.5009   12.1920  0.00000      0.00000      0.00000      1.00000      0.00000    
               16426    31     1   511058.307970  4581786.032180  913.2814   10.6680  0.00000      0.00000      0.00000      1.00000      0.00000    
               16426    31     2   511058.307970  4581786.032180  913.2814   27.4320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16426    31     3   511058.307970  4581786.032180  913.2814   35.0520  0.00000      0.00000      0.00000      1.00000      0.00000    
               16426    31     4   511058.307970  4581786.032180  913.2814   36.5760  0.00000      1.00000      0.00000      0.00000      0.00000    
               16426    31     5   511058.307970  4581786.032180  913.2814   38.1000  0.00000      1.00000      0.00000      0.00000      0.00000    
               16426    31     6   511058.307970  4581786.032180  913.2814   39.6240  0.00000      1.00000      0.00000      0.00000      0.00000    
               16426    31     7   511058.307970  4581786.032180  913.2814   41.1480  0.00000      0.00000      0.00000      1.00000      0.00000    
               16438    32     1   507780.400370  4596470.010120  860.8558    7.9248  0.00000      0.00000      0.00000      1.00000      0.00000    
               16438    32     2   507780.400370  4596470.010120  860.8558   10.3632  0.00000      1.00000      0.00000      0.00000      0.00000    
               16438    32     3   507780.400370  4596470.010120  860.8558   12.1920  0.00000      0.00000      0.00000      1.00000      0.00000    
               16438    32     4   507780.400370  4596470.010120  860.8558   13.7160  0.00000      1.00000      0.00000      0.00000      0.00000    
               16438    32     5   507780.400370  4596470.010120  860.8558   14.0208  0.00000      0.00000      0.00000      1.00000      0.00000    
               16438    32     6   507780.400370  4596470.010120  860.8558   18.2880  0.00000      1.00000      0.00000      0.00000      0.00000    
               16438    32     7   507780.400370  4596470.010120  860.8558   19.8120  0.00000      0.00000      0.00000      1.00000      0.00000    
               16438    32     8   507780.400370  4596470.010120  860.8558   21.0312  0.00000      1.00000      0.00000      0.00000      0.00000    
               16438    32     9   507780.400370  4596470.010120  860.8558   21.9456  0.00000      0.00000      0.00000      1.00000      0.00000    
               16438    32    10   507780.400370  4596470.010120  860.8558   22.2504  0.00000      0.00000      1.00000      0.00000      0.00000    
               16438    32    11   507780.400370  4596470.010120  860.8558   25.2984  0.00000      0.00000      0.00000      1.00000      0.00000    
               16446    33     1   514275.104230  4594848.053570  881.9510    0.3048  0.00000      1.00000      0.00000      0.00000      0.00000    
               16446    33     2   514275.104230  4594848.053570  881.9510   11.2776  0.00000      0.00000      0.00000      1.00000      0.00000    
               16446    33     3   514275.104230  4594848.053570  881.9510   29.8704  0.00000      0.00000      1.00000      0.00000      0.00000    
               16446    33     4   514275.104230  4594848.053570  881.9510   33.2232  0.00000      0.00000      1.00000      0.00000      0.00000    
               16446    33     5   514275.104230  4594848.053570  881.9510   51.8160  0.00000      0.00000      0.00000      1.00000      0.00000    
               16449    34     1   514275.114230  4594848.063570  881.9510    1.8288  0.00000      1.00000      0.00000      0.00000      0.00000    
